rented,email,availability,a,city,community,latitude,longitude,type,price,beds,sq_feet,baths,cats,dogs,sq_feet2,price2,beds2,baths2,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet
Not-Rented,True,Immediate,2000-01-01,Calgary,Crescent Heights,51.0640666,-114.0573792,Apartment,999,1,520,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Bankview,51.0306332,-114.1038036,Apartment,899,studio,397,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.0390969,-114.0731192,Apartment,925,studio,250,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,South Calgary,51.0302907,-114.0989466,Apartment,899,studio,450,1,2,2,464,950,1,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Scarboro,51.0375374,-114.1020294,Apartment,925,studio,335,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Mission,51.037644,-114.0703651,Apartment,865,studio,350,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.037026,-114.0881389,Apartment,925,studio,,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Bankview,51.0325951,-114.0980284,Apartment,999,1,497,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Brentwood,51.0897585,-114.1309789,Apartment,900,1,700,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Mission,51.0359727,-114.0701952,Apartment,950,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.0348835,-114.0802295,Apartment,899,studio,450,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Hillhurst,51.0569041,-114.0904234,Apartment,875,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Greenview,51.0966163,-114.0580176,Apartment,1000,1,720,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Woodlands,50.9407587,-114.1038826,Apartment,999,1,635,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Lynnwood,50.9958818,-114.0219993,Apartment,990,1,,1,0,0,0,0,0,0,0,0,0,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Bridgeland,51.0521742,-114.0489798,Apartment,926,studio,429,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,South Calgary,51.0229792,-114.1017405,Apartment,900,1,,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Sunalta,51.038298,-114.0982478,Apartment,800,1,470,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Sunalta,51.0437267,-114.1057707,Apartment,895,1,550,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Shaganappi,51.0382491,-114.1240734,Apartment,895,1,500,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.0361453,-114.0861162,Apartment,900,1,633,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Windsor Park,51.0026511,-114.074333,Apartment,995,1,615,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Mount Royal,51.0372583,-114.0866808,Apartment,895,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Forest Lawn,51.0367038,-113.9746726,Apartment,875,1,650,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Tuxedo Park,51.0762898,-114.0640751,Apartment,995,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Killarney,51.0296161,-114.1351447,Apartment,850,1,700+,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.0413127,-114.0848539,Apartment,925,studio,+/-500,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Crescent Heights,51.0635435,-114.0601315,Apartment,1000,1,580,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Bowness,51.0904906,-114.1955841,Apartment,960,1,750,1,0,0,0,0,0,0,1,0,1,0,1
Not-Rented,False,Immediate,2000-01-01,Calgary,Bankview,51.0315177,-114.1019092,Apartment,900,1,500,1,0,0,0,0,0,0,1,1,1,1,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.0397217,-114.0776492,Apartment,850,studio,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.0399656,-114.0862675,Apartment,1000,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Mount Royal,51.0329298,-114.094312,Apartment,995,2,+ / -  1000 sq feet,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Sunalta,51.0392888,-114.0960909,Apartment,950,1,,1,0,0,0,975,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Killarney,51.0242857,-114.140771,Apartment,1000,1,650,1,2,0,0,0,0,0,1,1,1,0,1
Not-Rented,True,Immediate,2000-01-01,Calgary,Sunalta,51.0427933,-114.1022215,Apartment,950,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Mission,51.0336618,-114.0690593,Apartment,975,1,475,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Mission,51.0327199,-114.0706328,Apartment,995,studio,520,1,0,0,0,0,0,0,1,0,1,0,1
Not-Rented,True,Immediate,2000-01-01,Calgary,Woodlands,50.9415759,-114.1107774,Apartment,975,2,,1,2,2,0,0,0,0,0,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Kensington,51.0515029,-114.0892982,Apartment,995,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Albert Park,51.0382726,-113.9987898,Apartment,995,1,,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Sunalta,51.0434765,-114.1035317,Apartment,890,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Mission,51.035457169999,-114.06937122345,Apartment,825,studio,approx 350,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Altadore,51.021994,-114.109543,Apartment,975,2,1000,1,2,0,0,0,0,0,0,0,0,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Bridgeland,51.0496683,-114.0336783,Apartment,900,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Kingsland,50.992612,-114.0743273,Apartment,898,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.0368321,-114.0898775,Apartment,900,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0366961,-114.0744921,Apartment,625,1,465,1,0,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Bankview,51.0367651,-114.105597,Apartment,950,1,,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Brentwood,51.0854364,-114.1228333,Apartment,850,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.036361877286,-114.074414240198,Apartment,800,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Downtown,51.0457187,-114.0805283,Apartment,985,1,600-660,1,2,2,0,0,0,0,1,0,1,0,0
